Date de l'épisode;Origine;Polluant;Région;Département;Seuil dépassé
11/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
09/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
07/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
01/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ALSACE;HAUT-RHIN;50 µg/m³ / 24h
26/01/2017;CONSTAT;SO2;AQUITAINE;PYRENEES-ATLANTIQUES;300 µg/m³ / 1h
26/01/2017;CONSTAT;PM10;BOURGOGNE;COTE-D'OR;80 µg/m³ / 24h
18/12/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;NORD;50 µg/m³ / 24h
17/12/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;NORD;50 µg/m³ / 24h
11/10/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;NORD;50 µg/m³ / 24h
13/09/2016;CONSTAT;SO2;NORD-PAS-DE-CALAIS;NORD;300 µg/m³ / 1h
08/09/2016;CONSTAT;SO2;NORD-PAS-DE-CALAIS;NORD;300 µg/m³ / 1h
08/06/2016;CONSTAT;O3;NORD-PAS-DE-CALAIS;NORD;180 µg/m³ / 1h
04/06/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;NORD;50 µg/m³ / 24h
27/05/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;NORD;50 µg/m³ / 24h
24/05/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;NORD;50 µg/m³ / 24h
11/05/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;NORD;50 µg/m³ / 24h
22/03/2016;CONSTAT;SO2;NORD-PAS-DE-CALAIS;NORD;300 µg/m³ / 1h
22/03/2016;CONSTAT;SO2;NORD-PAS-DE-CALAIS;NORD;300 µg/m³ / 1h
22/03/2016;CONSTAT;SO2;NORD-PAS-DE-CALAIS;NORD;300 µg/m³ / 1h
